door_count,fiscal_power,mileage,price,year,publication_Year,publication_Month,publication_Day,publication_Weekday,Is_Weekend,Days_since_posted,Alloy_wheels,Airbags,Air_conditioning,Navigation_system,Sunroof,Leather_seats,Parking_sensors,Rear_camera,Electric_windows,ABS,ESP,Cruise_control,Speed_limiter,CD/MP3/Bluetooth,On_board_computer,Central_locking,brand,condition,fuel_type,model,origin,first_owner,sector,seller_city,transmission
5.0,8.0,324999.0,80000.0,2009.0,2025.0,4.0,3.0,5,0,27.0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0.0,2.0,0.0,62.0,0.0,1.0,4.0,1.0,0.0
5.0,6.0,114999.0,137000.0,2017.0,2025.0,1.0,12.0,1,0,108.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,7.0,2.0,0.0,123.0,0.0,0.0,1.0,18.0,0.0
5.0,12.0,72499.0,635000.0,2021.0,2025.0,4.0,12.0,7,1,18.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,14.0,0.0,0.0,35.0,0.0,0.0,0.0,90.0,1.0
5.0,6.0,194999.0,97000.0,2015.0,2025.0,4.0,5.0,7,1,25.0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,3.0,0.0,0.0,65.0,0.0,0.0,4.0,1.0,0.0
5.0,6.0,7499.0,320000.0,2023.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,3.0,3.0,0.0,59.0,0.0,0.0,0.0,219.0,1.0
5.0,6.0,174999.0,90000.0,2012.0,2025.0,4.0,3.0,5,0,27.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,6.0,1.0,0.0,15.0,0.0,0.0,0.0,26.0,0.0
5.0,6.0,154999.0,125000.0,2016.0,2025.0,1.0,12.0,1,0,108.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,151.0,0.0
5.0,8.0,114999.0,55000.0,2009.0,2025.0,3.0,15.0,7,1,46.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,30.0,2.0,1.0,205.0,0.0,0.0,7.0,171.0,0.0
5.0,8.0,114999.0,250000.0,2017.0,2025.0,1.0,12.0,1,0,108.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,14.0,0.0,0.0,21.0,0.0,0.0,3.0,32.0,1.0
5.0,6.0,274999.0,113000.0,2019.0,2025.0,3.0,17.0,2,0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,10.0,0.0,1.0,6.0,57.0,0.0
5.0,6.0,82499.0,125000.0,2022.0,2025.0,4.0,12.0,7,1,18.0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,13.0,0.0,1.0,44.0,0.0,1.0,5.0,34.0,0.0
5.0,8.0,164999.0,260000.0,2017.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,14.0,1.0,0.0,21.0,0.0,0.0,2.0,156.0,1.0
5.0,8.0,114999.0,345000.0,2019.0,2025.0,4.0,12.0,7,1,18.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,9.0,0.0,0.0,72.0,0.0,0.0,0.0,2.0,1.0
5.0,8.0,224999.0,139000.0,2011.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.0,1.0,0.0,24.0,0.0,0.0,7.0,5.0,1.0
5.0,8.0,174999.0,250000.0,2017.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,14.0,0.0,0.0,116.0,2.0,1.0,0.0,13.0,1.0
5.0,6.0,154999.0,185000.0,2015.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,4.0,0.0,0.0,43.0,1.0,0.0,1.0,8.0,1.0
5.0,6.0,224999.0,97000.0,2018.0,2025.0,3.0,13.0,5,0,48.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0
